unitid,what,when,who,desc,agentType,what,when,who,desc,agentType,what ,when,who,desc,agentType,what,when,who,desc,agentType
431,new,2019-05,LL,Création de la fiche.,human,,,,,,,,,,,,,,,
432,new,2020-12-10,JH,Retroconversion de la notice avec l’app xpr.,human,new,2019-03-01,JH,Création de la fiche (formulaire Xforms/Libre office).,human,,,,,,,,,,
433,new,2019-03,LL,Création de la fiche.,human,,,,,,,,,,,,,,,
434,retroconverted,2020-11-01,JH,Retroconversion de la notice avec l’app xpr.,human,new,2019-04-01,JH,Création de la fiche (formulaire Xforms/Libre office).,human,,,,,,,,,,
435,new,2019-05,LL,Création de la fiche.,human,,,,,,,,,,,,,,,
479,new,2020-02,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
480,new,2020-02,LL,Création de la fiche.,human,,,,,,,,,,,,,,,
481,new,2020-03,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
482,new,2020-02,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
483,new,2020-04,LL,Création de la fiche.,human,,,,,,,,,,,,,,,
484,new,2020-12-20,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
524,new,2020-03,LL,Création de la fiche.,human,,,,,,,,,,,,,,,
526,new,2020-04,LL,Création de la fiche.,human,,,,,,,,,,,,,,,
527,new,2020-12-01,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
528,new,2021-01-01,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
578,revised,2020-10,JH,Révision de la fiches suite à la rétroconversion.,human,retroconverted,2020-06,ead2xpr.xsl/Saxon9,Notice rétroconvertie au format  xpr à partir des sources XML-EAD du GIP.,machine,new,2017,RB,Création de la fiche.,human,,,,,
579,revised,2020-10,JH,Révision de la fiches suite à la rétroconversion.,human,retroconverted,2020-06,ead2xpr.xsl/Saxon9,Notice rétroconvertie au format  xpr à partir des sources XML-EAD du GIP.,machine,new,2017,RB,Création de la fiche.,human,,,,,
580,revised,2020-10,JH,Révision de la fiches suite à la rétroconversion.,human,retroconverted,2020-06,ead2xpr.xsl/Saxon9,Notice rétroconvertie au format  xpr à partir des sources XML-EAD du GIP.,machine,new,2017,RB,Création de la fiche.,human,,,,,
581,revised,2020-11,JH,Révision de la fiches suite à la rétroconversion.,human,retroconverted,2020-06,ead2xpr.xsl/Saxon9,Notice rétroconvertie au format  xpr à partir des sources XML-EAD du GIP.,machine,new,2017,LL,Création de la fiche.,human,,,,,
582,revised,2020-11,JH,Révision de la fiches suite à la rétroconversion.,human,retroconverted,2020-06,ead2xpr.xsl/Saxon9,Notice rétroconvertie au format  xpr à partir des sources XML-EAD du GIP.,machine,new,2017,LL,Création de la fiche.,human,,,,,
583,revised,2020-11,JH,Révision de la fiches suite à la rétroconversion.,human,retroconverted,2020-06,ead2xpr.xsl/Saxon9,Notice rétroconvertie au format  xpr à partir des sources XML-EAD du GIP.,machine,new,2017,RB,Création de la fiche.,human,,,,,
584,revised,2020-11,JH,Révision de la fiches suite à la rétroconversion.,human,retroconverted,2020-06,ead2xpr.xsl/Saxon9,Notice rétroconvertie au format  xpr à partir des sources XML-EAD du GIP.,machine,new,2017,LL,Création de la fiche.,human,,,,,
827,new,2019-06,LL,Création de la fiche.,human,,,,,,,,,,,,,,,
828,new,2019-05,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
829,new,2019-06,LL,Création de la fiche.,human,,,,,,,,,,,,,,,
830,new,2019-06,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
831,new,2019-07,LL,Création de la fiche.,human,,,,,,,,,,,,,,,
832-1,new,2019-07,LL,Création de la fiche.,human,,,,,,,,,,,,,,,
832-2,new,2019-07,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
833-1,new,2019-07,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
833-2,new,2019-09,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
899,new,2019-10,LL,Création de la fiche.,human,,,,,,,,,,,,,,,
900,new,2019-09,LL,Création de la fiche.,human,,,,,,,,,,,,,,,
901,new,2019-12,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
902,new,2019-12,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
903-1,new,2020-01,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
903-2,new,2020-01,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
904,new,2019-12,LL,Création de la fiche.,human,,,,,,,,,,,,,,,
905,new,2020-01,JH,Création de la fiche.,human,,,,,,,,,,,,,,,
906,new,2020-01,LL,Création de la fiche.,human,,,,,,,,,,,,,,,
999,revised,2020-06,LL,Révision de la fiches suite à la rétroconversion.,human,retroconverted,2020-06,ead2xpr.xsl/Saxon9,Notice rétroconvertie au format  xpr à partir des sources XML-EAD du GIP.,machine,revised,2017,JH,Révision de la fiches suite à la rétroconversion.,human,new,2016/2017,LRT,Création de la fiche.,human
1000,revised,2020-09,JH,Révision de la fiches suite à la rétroconversion.,human,retroconverted,2020-06,ead2xpr.xsl/Saxon9,Notice rétroconvertie au format  xpr à partir des sources XML-EAD du GIP.,machine,new,2017,PC,Création de la fiche.,human,,,,,
1001,revised,2020-06,LL,Révision de la fiches suite à la rétroconversion.,human,retroconverted,2020-06,ead2xpr.xsl/Saxon9,Notice rétroconvertie au format  xpr à partir des sources XML-EAD du GIP.,machine,new,2017,JH,Création de la fiche.,human,,,,,
1002,revised,2020-06,LL,Révision de la fiches suite à la rétroconversion.,human,retroconverted,2020-06,ead2xpr.xsl/Saxon9,Notice rétroconvertie au format  xpr à partir des sources XML-EAD du GIP.,machine,new,2017,JH,Création de la fiche.,human,,,,,
1003,revised,2020-07,LL,Révision de la fiches suite à la rétroconversion.,human,retroconverted,2020-06,ead2xpr.xsl/Saxon9,Notice rétroconvertie au format  xpr à partir des sources XML-EAD du GIP.,machine,new,2017,JH,Création de la fiche.,human,,,,,
